PAIS,FINCAID,FINCANOMB,CAMPOID,CAMPONOMB,UEID,UENOMB,MUESTRAID,MUESTNOMB,MUESTIPO,MUESTLONG,MUESTLATI,MUESTFECHA,MUESTPROINI,MUESTPROFIN,SUELOPROD,CARBONO,DA,,,,,,
Venezuela,F01,Finca_1,C01,1.A,U01,UE_1.A,M001,1,Compuesta,-67.783750000,10.418805556,04-07-22,0.0,20.0,0.16,1.13,1.21,-67.783750,10.418806,Buena,,,
Venezuela,F01,Finca_1,C02,1.B,U02,UE_1.B,M002,2,Compuesta,-67.782055556,10.418805556,04-07-22,0.0,20.0,0.16,1.67,1.07,0.001694,0.000000,Buena,,,
Venezuela,F01,Finca_1,C03,1.C,U03,UE_1.C,M003,3,Compuesta,-67.780722222,10.418833333,04-07-22,0.0,20.0,0.16,0.90,1.34,0.001333,0.000028,Buena,,,
Venezuela,F02,Finca_2,C04,2.A,U04,UE_2.A,M004,4,Compuesta,-67.782638889,10.417166667,04-07-22,0.0,20.0,0.85,1.77,1.29,-0.001917,-0.001667,Buena,,,
Venezuela,F02,Finca_2,C05,2.B,U05,UE_2.B,M005,5,Compuesta,-67.784666667,10.417472222,04-07-22,0.0,20.0,0.85,1.04,1.40,-0.002028,0.000306,Buena,,,
Venezuela,F03,Finca_3,C06,3.A,U06,UE_3.A,M006,6,Compuesta,-67.789361111,10.402666667,27-07-22,0.0,20.0,0.32,0.92,1.72,-0.004694,-0.014806,Buena,,,
Venezuela,F03,Finca_3,C07,3.B,U07,UE_3.B,M007,7,Compuesta,-67.788138889,10.402972222,27-07-22,0.0,20.0,0.32,0.53,1.82,0.001222,0.000306,Buena,,,
Venezuela,F04,Finca_4,C08,4.A,U08,UE_4.A,M008,8,Compuesta,-67.771055556,10.440583333,27-07-22,0.0,20.0,0.15,1.95,1.53,0.017083,0.037611,Buena,,,
Venezuela,F04,Finca_4,C09,4.B,U09,UE_4.B,M009,9,Compuesta,-67.772527778,10.441111111,27-07-22,0.0,20.0,0.15,1.04,1.46,-0.001472,0.000528,Buena,,9,
Argentina,F05,EEA INTA Abra Pampa,C10,INTA,U10,INTA,M010,1,Compuesta,-65.696964000,-22.722849000,04-05-22,0.0,10.0,1.9,1.46,1.15,-65.696964,-22.722849,,,,
Argentina,F05,EEA INTA Abra Pampa,C10,INTA,U10,INTA,M011,1,Compuesta,-65.696964000,-22.722849000,04-05-22,10.0,30.0,1.9,0.84,1.27,0.000000,0.000000,,,,
Argentina,F05,EEA INTA Abra Pampa,C11,JS,U11,JS,M012,1,Compuesta,-65.696964000,-22.722849000,04-05-22,0.0,10.0,1.9,2.67,0.93,0.000000,0.000000,no se justifica,,,
Argentina,F05,EEA INTA Abra Pampa,C11,JS,U11,JS,M013,1,Compuesta,-65.696964000,-22.722849000,04-05-22,10.0,30.0,1.9,1.01,1.15,0.000000,0.000000,no se justifica,este grupo son dos campos y 4 UE con la misma fecha y solo dos profundidades diefrentes y se coloca una sola coordenadas para los cuatros registros,,
Argentina,F06,Humahuaca,C12,,U12,HUM,M014,1,Compuesta,-65.341666660,-23.197777000,06-05-22,0.0,10.0,,0.80,1.42,0.355297,-0.474928,Buena,,,
Argentina,FO6,Humahuaca,C12,,U12,HUM,M015,,Compuesta,-65.341666660,-23.197777000,06-05-22,10.0,30.0,,0.57,1.47,0.000000,0.000000,Buena,,,
Argentina,F07,Maimará,C13,,U13,MAI,M016,1,Compuesta,-65.407777700,-23.629722220,06-05-22,0.0,10.0,,1.37,1.51,-0.066111,-0.431945,Buena,,,
Argentina,F07,Maimará,C13,,U13,MAI,M017,,Compuesta,-65.407777700,-23.629722220,06-05-22,10.0,30.0,,0.77,1.55,0.000000,0.000000,Buena,,,
Argentina,F08,Tumbaya,C14,,U14,TUM,M018,,Compuesta,-65.503333300,-23.843055500,06-05-22,0.0,10.0,,1.64,1.47,-0.095556,-0.213333,Buena,,,
Argentina,F08,Tumbaya,C14,,U14,TUM,M019,1,Compuesta,-65.503333300,-23.843055500,06-05-22,10.0,30.0,,1.15,1.40,0.000000,0.000000,Buena,,,
Argentina,F09,Salta 1,C15,,U15,SAL1,M020,1,Compuesta,-64.099247000,-23.286089000,01-06-22,0.0,10.0,,1.08,0.99,1.404086,0.556966,Buena,,,
Argentina,F09,Salta 1,C15,,U15,SAL1,M021,1,Compuesta,-64.099247000,-23.286089000,01-06-22,10.0,30.0,,0.68,1.15,0.000000,0.000000,Buena,,,
